epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,950.196,0.93958,0.79508,1.11598,0.67395,0.86502,0.81711,0.68879,0.67048,0.58359,0.95033,0.000660045,0.000660045,0.000660045
43,972.41,0.95749,0.78195,1.11712,0.74392,0.87723,0.83705,0.70504,0.70292,0.60263,0.96525,0.000649046,0.000649046,0.000649046
44,994.239,0.94085,0.76596,1.10572,0.80107,0.87358,0.88564,0.74255,0.68037,0.57733,0.96703,0.000638047,0.000638047,0.000638047
45,1017.1,0.9315,0.74764,1.10723,0.81195,0.84957,0.89743,0.74561,0.68466,0.55563,0.96236,0.000627048,0.000627048,0.000627048
46,1040.07,0.93421,0.73991,1.10838,0.77931,0.87749,0.91091,0.75405,0.6934,0.54603,0.97442,0.000616049,0.000616049,0.000616049
47,1062.05,0.93849,0.74002,1.11606,0.78387,0.85897,0.90085,0.75998,0.68036,0.59045,0.96578,0.000605051,0.000605051,0.000605051
48,1085.16,0.92171,0.72289,1.10236,0.65178,0.96505,0.90276,0.75043,0.68608,0.59477,0.97372,0.000594052,0.000594052,0.000594052
49,1108.54,0.94197,0.74321,1.11254,0.71836,0.9037,0.88701,0.73455,0.71028,0.58498,0.98084,0.000583053,0.000583053,0.000583053
50,1131.97,0.92693,0.72784,1.1071,0.76249,0.86622,0.89498,0.75674,0.6748,0.57129,0.96081,0.000572054,0.000572054,0.000572054
51,1153.68,0.894,0.70031,1.0841,0.73108,0.81959,0.86053,0.72097,0.67604,0.58547,0.96177,0.000561055,0.000561055,0.000561055
52,1177.04,0.90373,0.69535,1.08893,0.68085,0.90656,0.84448,0.70597,0.68676,0.65165,0.96746,0.000550056,0.000550056,0.000550056
53,1199.77,0.89045,0.69056,1.08933,0.77076,0.86323,0.87759,0.74271,0.65587,0.54206,0.94962,0.000539057,0.000539057,0.000539057
